,N,#procs,time_mean,time_std,cpu_mean,cpu_std,instance,parallel
374,2,2,0.00476,0.00128,45.0,47.2,r5large,True
375,2,2,0.000128,2.02e-05,10.0,30.0,r5large,False
376,2,4,0.0053100000000000005,0.00105,80.0,40.0,r5large,True
377,2,4,0.00018,0.000128,0.0,0.0,r5large,False
378,2,8,0.00495,0.000558,90.0,30.0,r5large,True
379,2,8,0.00014199999999999998,1.4400000000000001e-05,10.0,30.0,r5large,False
380,2,16,0.005370000000000001,0.000688,80.0,40.0,r5large,True
381,2,16,0.000138,2.56e-06,0.0,0.0,r5large,False
382,2,32,0.0053,0.0007,60.0,49.0,r5large,True
383,2,32,0.000154,4.2499999999999996e-05,10.0,30.0,r5large,False
384,4,1,0.00307,0.00039,60.0,49.0,r5large,True
385,4,1,0.000207,1.9399999999999997e-05,0.0,0.0,r5large,False
386,4,2,0.00562,0.000491,70.0,45.8,r5large,True
387,4,2,0.000215,2.2899999999999998e-05,0.0,0.0,r5large,False
388,4,4,0.0117,0.000459,100.0,0.0,r5large,True
389,4,4,0.000217,1.05e-05,0.0,0.0,r5large,False
390,4,8,0.0111,0.000791,100.0,0.0,r5large,True
391,4,8,0.00022,1.91e-05,0.0,0.0,r5large,False
392,4,16,0.0111,0.000731,100.0,0.0,r5large,True
393,4,16,0.00021600000000000002,9.22e-06,10.0,30.0,r5large,False
394,4,32,0.0116,0.0004940000000000001,100.0,0.0,r5large,True
395,4,32,0.000241,2.15e-05,20.0,40.0,r5large,False
396,8,1,0.00389,0.000131,60.0,49.0,r5large,True
397,8,1,0.0008900000000000001,5.5799999999999994e-05,20.0,40.0,r5large,False
398,8,2,0.00406,0.000535,65.0,45.0,r5large,True
399,8,2,0.000553,0.000136,0.0,0.0,r5large,False
400,8,4,0.0094,0.0017800000000000001,96.7,9.99,r5large,True
401,8,4,0.000784,0.000182,10.0,30.0,r5large,False
